City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Busselton,AU,65.52,light rain,-33.65,115.3333,Observatory Guest House
3,Rikitea,PF,73.51,light rain,-23.1203,-134.9692,People ThankYou
8,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
10,Saint-Pierre,RE,74.88,scattered clouds,-21.3393,55.4781,Lindsey Hôtel
11,Carnarvon,AU,66.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
12,Cabo San Lucas,MX,81.7,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
13,Liling,CN,73.83,overcast clouds,27.6667,113.5,Shangri-La Hotel
14,Kunming,CN,66.96,clear sky,25.0389,102.7183,昆明佳华广场酒店
15,Bathsheba,BB,84.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
16,Broome,US,77.7,clear sky,42.2506,-75.833,Chenango Valley State Park
21,Laguna,US,72.97,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
29,Vaini,TO,69.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
30,Nouadhibou,MR,65.57,clear sky,20.931,-17.0347,El Medina
31,Albany,US,67.64,overcast clouds,42.6001,-73.9662,El Medina
37,Castro,BR,76.32,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
38,Roma,US,77.09,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
39,High Rock,BS,80.62,few clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
43,Victoria,HK,81.32,clear sky,22.2855,114.1577,Mini Hotel Central
45,Faanui,PF,80.58,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
46,Salalah,OM,81.81,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
48,Kapaa,US,78.78,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
49,Cao Bang,VN,73.54,clear sky,22.6667,106.25,khách sạn 88
51,Ikwiriri,TZ,74.53,overcast clouds,-7.9562,38.9716,Greenland lodge
52,Samarai,PG,82.26,broken clouds,-10.6167,150.6667,Nuli Sapi
53,Saraj,MK,69.35,broken clouds,42.0,21.3278,Feng Shui Apartments
61,Hilo,US,77.29,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
62,Sibolga,ID,77.16,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
67,Mar Del Plata,AR,76.95,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
69,Atambua,ID,70.79,few clouds,-9.1061,124.8925,Kost Alfa Flat
77,Butaritari,KI,79.47,light rain,3.0707,172.7902,Isles Sunset Lodge
78,Mahebourg,MU,73.26,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
81,Jamestown,US,82.53,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
82,Bac Lieu,VN,82.78,clear sky,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
83,Bethel,US,66.02,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
87,Kavaratti,IN,84.79,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
92,Meulaboh,ID,78.49,broken clouds,4.1363,96.1285,Kost Pria
94,Puerto Madryn,AR,68.86,overcast clouds,-42.7692,-65.0385,Hotel Tolosa
100,Hamilton,US,82.53,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
104,San Ramon De La Nueva Oran,AR,79.16,overcast clouds,-23.1322,-64.326,Hotel Residencial Centro
106,Atuona,PF,78.85,scattered clouds,-9.8,-139.0333,Villa Enata
108,Bengkulu,ID,77.14,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
109,Cidreira,BR,70.95,clear sky,-30.1811,-50.2056,Hotel Castelo
110,Bonoua,CI,83.82,overcast clouds,5.2741,-3.595,Hotel Bon Samaritian
114,Pobe,BJ,81.7,overcast clouds,6.9801,2.6649,Hôtel Étoile d'Or de Pobé
118,Banda Aceh,ID,80.74,scattered clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
120,Bitung,ID,76.05,few clouds,1.4451,125.1824,K2 Lembeh
121,Itarema,BR,82.62,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
122,Harper,LR,83.41,overcast clouds,4.375,-7.7169,Screensaver
123,Tongzi,CN,67.26,overcast clouds,28.7829,105.0877,Jiayuan Hotel
127,Coolum Beach,AU,71.11,overcast clouds,-26.5333,153.1,Coolum Beach Resort
130,San Joaquin,US,71.53,clear sky,37.9333,-121.3011,University Plaza Waterfront Hotel
131,Damghan,IR,73.94,overcast clouds,36.1683,54.348,خوابگاه اساتيد دانشگاه دامغان
133,Garowe,SO,83.68,scattered clouds,8.4054,48.4845,Curubo Hotel
134,Buala,SB,79.07,light rain,-8.145,159.5921,Maringe Lagoon Lodge
137,The Valley,AI,81.1,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
140,Ilo,PE,70.43,few clouds,-17.6394,-71.3375,Torreblanca Hotel
141,Poum,NC,75.58,broken clouds,-20.2333,164.0167,El Medina
142,Gushikawa,JP,75.2,broken clouds,26.3544,127.8686,Kirari Guest House
145,Sangmelima,CM,70.5,light rain,2.9333,11.9833,gamestar hotel
147,Kavieng,PG,81.57,broken clouds,-2.5744,150.7967,Nusa Island Retreat
148,Darien,US,67.86,overcast clouds,41.752,-87.974,La Quinta Inn by Wyndham Chicago Willowbrook
151,Bukama,CD,70.99,light rain,-9.2,25.85,El Medina
152,Caninde,BR,84.9,overcast clouds,-4.3589,-39.3117,Hotel Casa Grande II
153,Saint-Philippe,RE,74.79,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
154,Maryborough,AU,67.1,overcast clouds,-25.5333,152.7,Blue Shades Motel
155,Arraial Do Cabo,BR,80.46,few clouds,-22.9661,-42.0278,Pousada Porto Praia
157,Hithadhoo,MV,84.97,overcast clouds,-0.6,73.0833,Scoop Guest House
158,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
159,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
163,Lambarene,GA,75.74,light rain,-0.7001,10.2406,Le Refuge
164,Souillac,MU,75.15,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
169,Port Blair,IN,82.72,clear sky,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
170,Tibati,CM,69.4,light rain,6.4667,12.6333,Tibati Hotel
171,Tura,IN,74.75,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
172,Carutapera,BR,76.15,overcast clouds,-1.195,-46.02,Lidera
173,Vicuna,CL,79.77,clear sky,-30.0319,-70.7081,Los Mosaicos
175,Bontang,ID,81.03,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
177,Manokwari,ID,78.55,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
181,Misratah,LY,65.91,scattered clouds,32.3754,15.0925,Almasa Hotel
183,Port Augusta,AU,65.5,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
185,Kampene,CD,68.85,overcast clouds,-3.6,26.6667,El Medina
189,Ponta Do Sol,PT,67.71,scattered clouds,32.6667,-17.1,Hotel do Campo
191,Mopipi,BW,75.07,scattered clouds,-21.1833,24.8833,El Medina
194,Richards Bay,ZA,71.85,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
195,Chuy,UY,75.13,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
196,Samarinda,ID,73.42,overcast clouds,-0.5,117.15,ASTON Samarinda Hotel & Convention Center
199,Guerrero Negro,MX,73.06,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
202,Vangaindrano,MG,72.37,light rain,-23.35,47.6,Hotel Fanilo
208,Yarada,IN,84.52,scattered clouds,17.65,83.2667,Yarada Jungle Beach Resorts
209,Agua Verde,MX,80.69,clear sky,22.9,-106.05,El Medina
212,Namatanai,PG,78.44,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
213,Makakilo City,US,75.52,light intensity drizzle,21.3469,-158.0858,Marriott's Ko Olina Beach Club
215,Bandarbeyla,SO,82.24,clear sky,9.4942,50.8122,JABIR HOTEL
216,Namibe,AO,70.45,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
219,Sorong,ID,81.23,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
220,Luwuk,ID,78.19,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
225,Pascagoula,US,83.41,broken clouds,30.3658,-88.5561,Regency Inn
227,Necochea,AR,73.42,few clouds,-38.5473,-58.7368,dyd -mar Hotel
228,Suleja,NG,81.75,light rain,9.1758,7.1808,Capy Motel
229,Hobyo,SO,84.45,few clouds,5.3505,48.5268,Iftin hotel hobyo
231,Vila Velha,BR,82.35,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
232,Labuhan,ID,78.91,overcast clouds,-6.8844,112.2051,DoubleFAG
233,Puerto Ayora,EC,75.16,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
234,Mecca,SA,84.81,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
237,Los Llanos De Aridane,ES,65.95,scattered clouds,28.6585,-17.9182,Valle Aridane
238,Trairi,BR,82.53,overcast clouds,-3.2778,-39.2689,janelas do mar
240,Russell,US,81.12,scattered clouds,32.3502,-85.1999,Macs
244,Itarare,BR,76.89,clear sky,-24.1125,-49.3317,Hospedaria Frei Caneca
247,Buin,CL,71.92,overcast clouds,-33.7333,-70.75,Paihuen
249,Bambanglipuro,ID,77.31,overcast clouds,-7.95,110.2833,Puri Brata
251,Durango,MX,80.44,clear sky,24.8333,-104.8333,El Medina
