City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lata,PT,40.1629,-8.3327,61.81,71,89,5.91,overcast clouds
1,Punta Arenas,CL,-53.15,-70.9167,44.71,70,75,3.44,broken clouds
2,Busselton,AU,-33.65,115.3333,65.52,49,100,12.39,light rain
3,Rikitea,PF,-23.1203,-134.9692,73.51,84,100,9.93,light rain
4,Araguacu,BR,-12.9306,-49.8264,88.93,52,75,3.15,broken clouds
5,Lebu,CL,-37.6167,-73.65,53.73,83,100,19.19,overcast clouds
6,Saskylakh,RU,71.9167,114.0833,-7.83,100,43,2.95,scattered clouds
7,Cherskiy,RU,68.75,161.3,-3.41,100,86,4.74,overcast clouds
8,Georgetown,MY,5.4112,100.3354,82.33,89,20,0.0,few clouds
9,Tecoanapa,MX,16.5167,-98.75,85.91,56,2,10.16,clear sky
10,Saint-Pierre,RE,-21.3393,55.4781,74.88,74,40,10.36,scattered clouds
11,Carnarvon,AU,-24.8667,113.6333,66.27,94,2,5.75,clear sky
12,Cabo San Lucas,MX,22.8909,-109.9124,81.7,68,0,3.44,clear sky
13,Liling,CN,27.6667,113.5,73.83,88,91,3.76,overcast clouds
14,Kunming,CN,25.0389,102.7183,66.96,39,0,11.01,clear sky
15,Bathsheba,BB,13.2167,-59.5167,84.81,61,75,20.71,broken clouds
16,Broome,US,42.2506,-75.833,77.7,45,0,7.0,clear sky
17,Ushuaia,AR,-54.8,-68.3,44.26,70,75,6.91,broken clouds
18,Cape Town,ZA,-33.9258,18.4232,59.34,75,2,7.0,clear sky
19,Kaitangata,NZ,-46.2817,169.8464,52.84,83,97,11.63,overcast clouds
20,Smidovich,RU,48.6,133.8167,37.35,50,14,8.03,few clouds
21,Laguna,US,38.421,-121.4238,72.97,47,0,3.44,clear sky
22,Port Alfred,ZA,-33.5906,26.891,59.18,84,95,5.01,overcast clouds
23,Torbay,CA,47.6666,-52.7314,38.28,95,100,7.0,moderate rain
24,Barrow,US,71.2906,-156.7887,10.42,79,0,11.5,clear sky
25,Rosetown,CA,51.5501,-108.0014,46.85,50,87,8.23,overcast clouds
26,East London,ZA,-33.0153,27.9116,63.59,74,100,14.56,light rain
27,Klaksvik,FO,62.2266,-6.589,45.52,86,100,17.36,overcast clouds
28,Ahipara,NZ,-35.1667,173.1667,61.61,83,36,12.35,scattered clouds
29,Vaini,TO,-21.2,-175.2,69.96,94,75,1.14,broken clouds
30,Nouadhibou,MR,20.931,-17.0347,65.57,77,0,19.86,clear sky
31,Albany,US,42.6001,-73.9662,67.64,33,91,1.99,overcast clouds
32,Tuktoyaktuk,CA,69.4541,-133.0374,27.77,93,100,4.21,overcast clouds
33,Saint Anthony,US,45.0205,-93.218,49.93,66,100,23.02,overcast clouds
34,Ilulissat,GL,69.2167,-51.1,30.22,86,100,4.61,light intensity shower rain
35,Mataura,NZ,-46.1927,168.8643,52.48,93,100,5.57,overcast clouds
36,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,30.94,91,34,13.06,scattered clouds
37,Castro,BR,-24.7911,-50.0119,76.32,59,34,3.36,scattered clouds
38,Roma,US,43.2128,-75.4557,77.09,40,0,10.36,clear sky
39,High Rock,BS,26.6208,-78.2833,80.62,63,23,14.58,few clouds
40,Pangnirtung,CA,66.1451,-65.7125,25.29,70,100,4.63,overcast clouds
41,Tazovskiy,RU,67.4667,78.7,-5.15,100,77,5.03,broken clouds
42,Mazara Del Vallo,IT,37.6641,12.588,63.93,50,28,8.57,scattered clouds
43,Victoria,HK,22.2855,114.1577,81.32,84,6,8.01,clear sky
44,Clarksburg,US,39.2807,-80.3445,86.11,39,0,10.36,clear sky
45,Faanui,PF,-16.4833,-151.75,80.58,71,60,5.61,broken clouds
46,Salalah,OM,17.0151,54.0924,81.81,76,48,5.84,scattered clouds
47,Berlevag,NO,70.8578,29.0864,35.4,89,100,5.95,overcast clouds
48,Kapaa,US,22.0752,-159.319,78.78,84,100,18.41,overcast clouds
49,Cao Bang,VN,22.6667,106.25,73.54,98,10,3.04,clear sky
50,Bonavista,CA,48.6499,-53.1147,35.56,95,100,27.4,light rain
51,Ikwiriri,TZ,-7.9562,38.9716,74.53,96,100,2.71,overcast clouds
52,Samarai,PG,-10.6167,150.6667,82.26,75,61,11.23,broken clouds
53,Saraj,MK,42.0,21.3278,69.35,69,78,1.5,broken clouds
54,Wau,SS,7.7029,27.9953,88.66,38,92,4.38,overcast clouds
55,Sakaiminato,JP,35.55,133.2333,60.35,88,17,3.69,few clouds
56,Cayenne,GF,4.9333,-52.3333,86.04,3,75,9.22,broken clouds
57,La Ronge,CA,55.1001,-105.2842,33.75,69,98,10.0,overcast clouds
58,Kruisfontein,ZA,-34.0033,24.7314,56.88,70,75,8.7,broken clouds
59,Port-Cartier,CA,50.0334,-66.8654,42.55,76,38,6.73,scattered clouds
60,Fortuna,US,40.5982,-124.1573,56.93,80,100,6.91,overcast clouds
61,Hilo,US,19.7297,-155.09,77.29,88,75,4.61,broken clouds
62,Sibolga,ID,1.7427,98.7792,77.16,89,86,3.94,overcast clouds
63,College,US,64.8569,-147.8028,41.32,57,75,0.0,broken clouds
64,Nanortalik,GL,60.1432,-45.2371,38.34,89,84,5.93,broken clouds
65,Hermanus,ZA,-34.4187,19.2345,52.81,80,19,7.72,light rain
66,Tomatlan,MX,19.9333,-105.25,89.11,33,3,8.48,clear sky
67,Mar Del Plata,AR,-38.0023,-57.5575,76.95,58,0,18.01,clear sky
68,Dikson,RU,73.5069,80.5464,3.36,98,96,10.42,overcast clouds
69,Atambua,ID,-9.1061,124.8925,70.79,79,22,3.53,few clouds
70,Sur,OM,22.5667,59.5289,88.03,44,34,8.03,scattered clouds
71,Taoudenni,ML,22.6783,-3.9836,91.22,16,0,14.12,clear sky
72,Bredasdorp,ZA,-34.5322,20.0403,54.93,88,21,5.19,light rain
73,Hasaki,JP,35.7333,140.8333,57.6,88,84,6.02,broken clouds
74,Praia Da Vitoria,PT,38.7333,-27.0667,63.75,68,14,20.42,light rain
75,Kodiak,US,57.79,-152.4072,44.11,76,75,9.22,broken clouds
76,Ribeira Grande,PT,38.5167,-28.7,63.0,67,40,17.27,scattered clouds
77,Butaritari,KI,3.0707,172.7902,79.47,80,100,15.17,light rain
78,Mahebourg,MU,-20.4081,57.7,73.26,74,85,19.55,light rain
79,Terneuzen,NL,51.2809,3.8392,61.09,56,47,7.0,scattered clouds
80,Turochak,RU,52.2576,87.1224,28.56,86,67,1.97,broken clouds
81,Jamestown,US,42.097,-79.2353,82.53,23,0,12.66,clear sky
82,Bac Lieu,VN,9.285,105.7244,82.78,77,8,7.63,clear sky
83,Bethel,US,41.3712,-73.414,66.02,39,0,13.8,clear sky
84,Olafsvik,IS,64.8945,-23.7142,45.41,81,88,7.05,overcast clouds
85,Kalmar,SE,56.6616,16.3616,42.73,73,0,12.66,clear sky
86,Narsaq,GL,60.9167,-46.05,50.22,82,88,6.98,overcast clouds
87,Kavaratti,IN,10.5669,72.642,84.79,70,90,2.24,overcast clouds
88,Boa Vista,BR,2.8197,-60.6733,85.98,58,75,3.44,broken clouds
89,Yellowknife,CA,62.456,-114.3525,24.57,62,7,11.99,clear sky
90,Hirna,ET,9.2167,41.1,62.47,85,51,8.52,light rain
91,Codrington,AU,-38.2667,141.9667,48.02,94,26,7.67,scattered clouds
92,Meulaboh,ID,4.1363,96.1285,78.49,87,76,2.19,broken clouds
93,Aklavik,CA,68.2191,-135.0107,30.0,93,100,5.32,overcast clouds
94,Puerto Madryn,AR,-42.7692,-65.0385,68.86,35,100,32.01,overcast clouds
95,Hobart,AU,-42.8794,147.3294,54.27,89,100,8.05,overcast clouds
96,Zverinogolovskoye,RU,54.4586,64.8542,47.32,30,79,5.14,broken clouds
97,Chokurdakh,RU,70.6333,147.9167,-16.08,100,87,3.74,overcast clouds
98,Pechory,RU,57.8164,27.6119,47.66,94,98,6.04,overcast clouds
99,Ancud,CL,-41.8697,-73.8203,46.22,76,100,23.26,light rain
100,Hamilton,US,39.1834,-84.5333,82.53,48,40,14.97,scattered clouds
101,Naron,ES,43.5167,-8.1528,62.04,80,100,4.65,overcast clouds
102,Constitucion,CL,-35.3333,-72.4167,58.23,90,95,19.75,heavy intensity rain
103,Tasiilaq,GL,65.6145,-37.6368,41.16,70,100,4.14,overcast clouds
104,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,79.16,64,88,4.52,overcast clouds
105,Bluff,NZ,-46.6,168.3333,53.8,84,83,19.95,broken clouds
106,Atuona,PF,-9.8,-139.0333,78.85,74,26,15.88,scattered clouds
107,Liverpool,GB,53.4106,-2.9779,58.82,53,20,14.97,few clouds
108,Bengkulu,ID,-3.8004,102.2655,77.14,89,80,3.2,broken clouds
109,Cidreira,BR,-30.1811,-50.2056,70.95,68,1,18.63,clear sky
110,Bonoua,CI,5.2741,-3.595,83.82,83,99,8.72,overcast clouds
111,Kristiansund,NO,63.1115,7.732,57.25,62,0,16.11,clear sky
112,Te Anau,NZ,-45.4167,167.7167,46.85,85,64,0.98,broken clouds
113,Shakiso,ET,5.75,38.9167,60.24,96,90,2.57,overcast clouds
114,Pobe,BJ,6.9801,2.6649,81.7,69,100,6.2,overcast clouds
115,Clyde River,CA,70.4692,-68.5914,5.23,85,100,4.61,light snow
116,Desaguadero,PE,-16.5656,-69.0417,55.71,45,67,9.98,broken clouds
117,Caravelas,BR,-17.7125,-39.2481,86.47,60,11,8.32,few clouds
118,Banda Aceh,ID,5.5577,95.3222,80.74,80,35,5.06,scattered clouds
119,Nikolskoye,RU,59.7035,30.7861,46.71,85,100,11.16,light rain
120,Bitung,ID,1.4451,125.1824,76.05,85,16,5.28,few clouds
121,Itarema,BR,-2.9248,-39.9167,82.62,75,44,7.23,scattered clouds
122,Harper,LR,4.375,-7.7169,83.41,76,99,8.99,overcast clouds
123,Tongzi,CN,28.7829,105.0877,67.26,76,100,8.43,overcast clouds
124,Katsuura,JP,35.1333,140.3,61.81,89,84,5.66,broken clouds
125,Adrar,MR,20.5022,-10.0711,90.0,17,0,14.18,clear sky
126,Upernavik,GL,72.7868,-56.1549,10.51,81,59,11.21,broken clouds
127,Coolum Beach,AU,-26.5333,153.1,71.11,83,89,15.52,overcast clouds
128,Ust-Kut,RU,56.7938,105.7672,18.66,96,83,2.37,broken clouds
129,Changying,CN,52.8733,123.3213,24.91,59,100,2.55,overcast clouds
130,San Joaquin,US,37.9333,-121.3011,71.53,40,0,5.75,clear sky
131,Damghan,IR,36.1683,54.348,73.94,26,97,5.28,overcast clouds
132,Flinders,AU,-34.5833,150.8552,62.19,90,99,5.99,light rain
133,Garowe,SO,8.4054,48.4845,83.68,46,32,16.78,scattered clouds
134,Buala,SB,-8.145,159.5921,79.07,81,100,4.79,light rain
135,Mokhsogollokh,RU,61.4681,128.9203,23.22,95,100,5.14,light snow
136,Severo-Kurilsk,RU,50.6789,156.125,31.77,84,94,10.63,overcast clouds
137,The Valley,AI,18.217,-63.0578,81.1,61,40,16.11,scattered clouds
138,Yuxia,CN,34.0615,108.6291,60.08,66,50,5.77,scattered clouds
139,Portland,US,45.5234,-122.6762,62.87,59,20,5.01,few clouds
140,Ilo,PE,-17.6394,-71.3375,70.43,75,23,8.77,few clouds
141,Poum,NC,-20.2333,164.0167,75.58,79,54,10.74,broken clouds
142,Gushikawa,JP,26.3544,127.8686,75.2,91,75,9.22,broken clouds
143,Jacmel,HT,18.2342,-72.5347,89.44,73,100,5.48,overcast clouds
144,New Norfolk,AU,-42.7826,147.0587,53.92,86,78,1.12,broken clouds
145,Sangmelima,CM,2.9333,11.9833,70.5,96,94,3.04,light rain
146,Norman Wells,CA,65.282,-126.8329,36.27,89,93,3.8,overcast clouds
147,Kavieng,PG,-2.5744,150.7967,81.57,77,60,9.19,broken clouds
148,Darien,US,41.752,-87.974,67.86,90,100,10.0,overcast clouds
149,Ketchikan,US,55.3422,-131.6461,45.07,87,100,13.8,moderate rain
150,Bara,NG,10.3744,10.7288,96.67,25,87,8.16,overcast clouds
151,Bukama,CD,-9.2,25.85,70.99,94,86,1.52,light rain
152,Caninde,BR,-4.3589,-39.3117,84.9,60,92,5.91,overcast clouds
153,Saint-Philippe,RE,-21.3585,55.7679,74.79,77,99,14.67,light rain
154,Maryborough,AU,-25.5333,152.7,67.1,78,90,9.04,overcast clouds
155,Arraial Do Cabo,BR,-22.9661,-42.0278,80.46,74,20,8.05,few clouds
156,Thompson,CA,55.7435,-97.8558,20.73,62,100,17.92,overcast clouds
157,Hithadhoo,MV,-0.6,73.0833,84.97,71,95,9.98,overcast clouds
158,Kloulklubed,PW,7.0419,134.2556,77.5,78,100,13.8,overcast clouds
159,Avarua,CK,-21.2078,-159.775,75.25,94,60,1.14,broken clouds
160,Igrim,RU,63.1906,64.4162,32.38,100,100,0.96,overcast clouds
