City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Killorglin,52.1,-9.7833,284.37,97,100,2.06,IE,2022-04-16 18:35:51
1,Bluff,-46.6,168.3333,278.04,75,99,2.11,NZ,2022-04-16 18:35:52
2,Cherskiy,68.75,161.3,263.85,95,100,3.47,RU,2022-04-16 18:33:13
3,Port Alfred,-33.5906,26.891,289.36,83,100,5.75,ZA,2022-04-16 18:35:52
4,Barrow,71.2906,-156.7887,256.16,71,0,8.75,US,2022-04-16 18:35:53
5,Ucluelet,48.9329,-125.5528,281.53,71,100,0.89,CA,2022-04-16 18:35:53
6,Busselton,-33.65,115.3333,286.75,83,35,4.77,AU,2022-04-16 18:35:54
7,Punta Arenas,-53.15,-70.9167,282.21,61,40,4.63,CL,2022-04-16 18:35:35
8,Geraldton,-28.7667,114.6,292.38,77,90,4.12,AU,2022-04-16 18:35:54
9,Albany,42.6001,-73.9662,283.38,71,100,0.89,US,2022-04-16 18:27:14
10,Quatre Cocos,-20.2078,57.7625,299.21,81,16,6.94,MU,2022-04-16 18:35:55
11,Krasnoselkup,65.7,82.4667,269.99,96,100,8.94,RU,2022-04-16 18:35:55
12,Puerto Ayora,-0.7393,-90.3518,300.13,78,98,3.96,EC,2022-04-16 18:35:56
13,Hasaki,35.7333,140.8333,281.37,64,100,3.93,JP,2022-04-16 18:35:56
14,Vaini,-21.2,-175.2,298.24,88,40,2.57,TO,2022-04-16 18:35:56
15,Kayes,14.0,-11.0,311.82,15,34,1.55,ML,2022-04-16 18:35:57
16,Coruripe,-10.1256,-36.1756,302.35,72,18,6.73,BR,2022-04-16 18:35:57
17,Bengkulu,-3.8004,102.2655,298.25,91,100,1.95,ID,2022-04-16 18:35:58
18,Mahebourg,-20.4081,57.7,299.31,78,75,5.14,MU,2022-04-16 18:35:58
19,Cape Town,-33.9258,18.4232,290.38,61,0,6.17,ZA,2022-04-16 18:35:59
20,Rikitea,-23.1203,-134.9692,298.7,71,3,6.84,PF,2022-04-16 18:35:59
21,Tuktoyaktuk,69.4541,-133.0374,251.15,77,20,3.6,CA,2022-04-16 18:35:59
22,Nanortalik,60.1432,-45.2371,272.82,80,8,4.92,GL,2022-04-16 18:32:22
23,Eyl,7.9803,49.8164,300.89,75,3,4.76,SO,2022-04-16 18:33:24
24,Georgetown,5.4112,100.3354,301.11,88,20,1.54,MY,2022-04-16 18:35:18
25,Sitka,57.0531,-135.33,277.09,70,40,1.54,US,2022-04-16 18:36:00
26,Constitucion,-35.3333,-72.4167,290.41,60,2,3.87,CL,2022-04-16 18:36:01
27,Avarua,-21.2078,-159.775,297.18,94,33,2.06,CK,2022-04-16 18:36:01
28,Castro,-24.7911,-50.0119,292.58,50,0,1.47,BR,2022-04-16 18:36:02
29,Jiujiang,29.7333,115.9833,284.89,80,100,1.38,CN,2022-04-16 18:36:02
30,Hilo,19.7297,-155.09,296.08,96,100,2.57,US,2022-04-16 18:36:03
31,Atuona,-9.8,-139.0333,299.37,77,50,8.13,PF,2022-04-16 18:36:03
32,Port Lincoln,-34.7333,135.8667,291.84,82,100,5.47,AU,2022-04-16 18:36:03
33,Cheremukhovo,60.3484,59.9851,268.34,88,73,3.82,RU,2022-04-16 18:36:04
34,Ushuaia,-54.8,-68.3,279.96,65,40,5.14,AR,2022-04-16 18:36:04
35,Veydelevka,50.1521,38.4492,285.24,72,100,6.2,RU,2022-04-16 18:36:05
36,Macae,-22.3708,-41.7869,299.01,61,40,3.6,BR,2022-04-16 18:36:05
37,Sotouboua,8.5667,0.9833,301.17,72,100,1.38,TG,2022-04-16 18:36:06
38,Faanui,-16.4833,-151.75,300.8,72,2,6.92,PF,2022-04-16 18:36:06
39,Nileshwar,12.25,75.1,301.18,75,23,0.24,IN,2022-04-16 18:36:06
40,Bethel,41.3712,-73.414,294.2,44,0,7.2,US,2022-04-16 18:36:07
41,Khatanga,71.9667,102.5,266.15,96,100,2.92,RU,2022-04-16 18:35:02
42,Ambunti,-4.2365,142.8448,296.57,98,94,1.0,PG,2022-04-16 18:36:08
43,Lompoc,34.6391,-120.4579,290.94,81,100,5.81,US,2022-04-16 18:36:08
44,Taoudenni,22.6783,-3.9836,302.72,14,0,4.82,ML,2022-04-16 18:36:09
45,Cocorit,27.5833,-109.9667,301.34,4,100,1.65,MX,2022-04-16 18:36:09
46,Ayan,56.45,138.1667,265.7,82,79,4.27,RU,2022-04-16 18:36:10
47,Sao Filipe,14.8961,-24.4956,295.37,77,20,5.87,CV,2022-04-16 18:34:40
48,Noumea,-22.2763,166.4572,296.48,99,1,3.29,NC,2022-04-16 18:37:10
49,Tiksi,71.6872,128.8694,247.85,100,80,1.87,RU,2022-04-16 18:37:11
50,Qaanaaq,77.484,-69.3632,250.73,75,86,2.41,GL,2022-04-16 18:37:11
51,Jamestown,42.097,-79.2353,282.6,53,75,7.72,US,2022-04-16 18:37:12
52,Mataura,-46.1927,168.8643,277.86,98,62,1.3,NZ,2022-04-16 18:37:12
53,Luau,-10.7073,22.2247,292.41,94,100,1.11,AO,2022-04-16 18:37:13
54,Cairns,-16.9167,145.7667,297.12,78,100,3.6,AU,2022-04-16 18:37:13
55,Hithadhoo,-0.6,73.0833,301.6,67,100,2.36,MV,2022-04-16 18:37:13
56,Tasiilaq,65.6145,-37.6368,276.24,97,100,7.66,GL,2022-04-16 18:37:14
57,Provideniya,64.3833,-173.3,272.62,93,100,6.73,RU,2022-04-16 18:37:15
58,Arraial Do Cabo,-22.9661,-42.0278,298.07,65,40,6.69,BR,2022-04-16 18:37:15
59,San Pedro De Macoris,18.4616,-69.2972,303.49,58,100,7.82,DO,2022-04-16 18:37:15
60,Kyzyl-Suu,42.3414,78.0056,282.62,43,0,3.5,KG,2022-04-16 18:37:16
61,Boras,57.721,12.9401,278.77,71,23,2.02,SE,2022-04-16 18:37:16
62,Fortuna,40.5982,-124.1573,284.22,72,75,5.66,US,2022-04-16 18:37:17
63,Talnakh,69.4865,88.3972,268.82,93,100,2.78,RU,2022-04-16 18:37:17
64,Rocha,-34.4833,-54.3333,293.36,55,26,3.32,UY,2022-04-16 18:37:18
65,San Patricio,28.017,-97.5169,304.2,57,92,5.06,US,2022-04-16 18:35:54
66,Thoen,17.6129,99.2161,300.85,56,88,1.16,TH,2022-04-16 18:37:18
67,Morant Bay,17.8815,-76.4093,302.99,62,7,4.32,JM,2022-04-16 18:37:19
68,Upernavik,72.7868,-56.1549,252.73,88,30,6.73,GL,2022-04-16 18:37:19
69,Kushima,31.4583,131.2333,286.05,64,100,2.04,JP,2022-04-16 18:37:20
70,Laguna,38.421,-121.4238,291.72,75,100,7.72,US,2022-04-16 18:37:20
71,Petropavlovsk-Kamchatskiy,53.0452,158.6483,268.48,74,0,5.0,RU,2022-04-16 18:33:33
72,Ribeira Grande,38.5167,-28.7,290.37,72,40,3.09,PT,2022-04-16 18:37:21
73,Flinders,-34.5833,150.8552,287.75,91,1,1.34,AU,2022-04-16 18:37:21
74,Bridgetown,13.1,-59.6167,302.42,58,20,10.29,BB,2022-04-16 18:34:17
75,Tsaratanana,-16.7833,47.65,296.3,78,1,4.09,MG,2022-04-16 18:37:22
76,Salalah,17.0151,54.0924,301.2,83,40,2.57,OM,2022-04-16 18:37:22
77,Lagoa,39.05,-27.9833,288.54,71,16,4.41,PT,2022-04-16 18:37:23
78,Ancud,-41.8697,-73.8203,292.72,67,21,2.18,CL,2022-04-16 18:37:23
79,Innisfail,-17.5333,146.0333,294.85,90,100,1.12,AU,2022-04-16 18:37:23
80,Kodiak,57.79,-152.4072,275.88,87,100,5.14,US,2022-04-16 18:37:24
81,Svetlogorsk,52.6333,29.7333,275.73,97,99,5.34,BY,2022-04-16 18:37:24
82,Portland,45.5234,-122.6762,284.81,61,75,3.58,US,2022-04-16 18:29:05
83,Pochutla,15.7432,-96.4661,306.38,41,38,4.64,MX,2022-04-16 18:37:25
84,Abilene,32.4487,-99.7331,294.31,36,0,8.75,US,2022-04-16 18:26:16
85,Oussouye,12.485,-16.5469,303.25,54,17,6.57,SN,2022-04-16 18:37:26
86,Andenes,69.3143,16.1194,279.14,87,100,6.69,NO,2022-04-16 18:37:26
87,Komsomolskiy,40.4272,71.7189,291.55,45,5,4.12,UZ,2022-04-16 18:37:26
88,Ranfurly,-45.1333,170.1,275.39,88,68,0.77,NZ,2022-04-16 18:37:27
89,Souillac,-20.5167,57.5167,299.36,78,75,5.14,MU,2022-04-16 18:37:27
90,Porbandar,21.6422,69.6093,300.13,73,0,4.18,IN,2022-04-16 18:37:28
91,Victoria,22.2855,114.1577,295.47,76,100,7.15,HK,2022-04-16 18:33:51
92,Chuy,-33.6971,-53.4616,293.03,54,82,3.07,UY,2022-04-16 18:38:28
93,Carutapera,-1.195,-46.02,301.08,78,92,2.72,BR,2022-04-16 18:38:29
94,Hermanus,-34.4187,19.2345,288.6,73,1,8.73,ZA,2022-04-16 18:34:17
95,Narsaq,60.9167,-46.05,278.27,68,2,2.44,GL,2022-04-16 18:35:17
96,Tual,-5.6667,132.75,301.89,74,100,2.77,ID,2022-04-16 18:38:30
97,Xai-Xai,-25.0519,33.6442,295.3,91,100,7.47,MZ,2022-04-16 18:38:30
98,Vestmanna,62.1564,-7.1664,280.66,93,100,8.23,FO,2022-04-16 18:38:31
99,Severo-Kurilsk,50.6789,156.125,272.53,83,100,8.07,RU,2022-04-16 18:38:31
100,Novoagansk,61.9449,76.6625,271.81,90,95,5.33,RU,2022-04-16 18:38:31
101,Kapaa,22.0752,-159.319,298.14,84,75,6.69,US,2022-04-16 18:38:24
102,Uspenka,48.3903,39.1619,283.4,74,100,4.44,UA,2022-04-16 18:38:32
103,Hobart,-42.8794,147.3294,285.52,89,100,2.06,AU,2022-04-16 18:36:56
104,Korla,41.7597,86.1469,283.97,13,0,1.26,CN,2022-04-16 18:38:33
105,Pisco,-13.7,-76.2167,296.18,60,0,8.23,PE,2022-04-16 18:38:33
